timestamp,temperature,humidity
1746606702.6684997,23.13,44.79
1746606703.3117461,24.16,40.68
1746606702.1203067,24.67,53.8
1746606706.9566684,23.97,41.0
1746606702.7467146,27.99,36.59
1746606703.3815,24.62,44.63
1746606702.7864072,25.02,50.51
1746606711.7740142,25.17,40.8
1746606703.8163524,23.17,52.19
1746606704.3463879,23.48,54.26
1746606704.669329,24.09,36.22
1746606705.3128917,24.04,40.76
1746606704.1209848,27.24,43.95
1746606708.960983,27.74,50.82
1746606704.7544105,27.52,50.26
1746606705.3826466,27.83,39.14
1746606704.7886436,27.97,52.93
1746606713.776431,26.38,42.36
1746606705.8193786,23.88,40.42
1746606706.356843,24.68,53.31
1746606706.6703515,27.79,46.68
1746606707.3138576,24.61,44.05
1746606706.1220298,23.31,41.04
1746606710.9644613,23.91,49.53
1746606706.7578514,25.99,39.31
1746606707.3842428,27.39,43.65
1746606706.7999277,24.08,44.43
1746606715.778447,23.55,37.26
1746606707.8258123,23.28,48.36
1746606708.3693397,25.79,48.87
1746606708.6724508,25.17,51.58
1746606709.3155334,26.59,43.19
1746606708.1226537,26.92,48.13
1746606712.9745028,27.57,42.79
1746606708.7744906,25.16,46.61
1746606709.386603,27.09,40.28
1746606708.8097165,25.06,41.11
1746606717.7807672,24.41,38.3
1746606709.8267837,26.57,36.14
1746606710.3697674,23.14,42.06
1746606710.673428,23.61,45.77
1746606711.3169796,24.92,38.41
1746606710.1233628,26.29,45.36
1746606714.9841664,24.83,41.92
1746606710.7849276,24.57,49.87
1746606711.3871632,26.03,45.99
1746606710.8214924,25.41,46.82
1746606719.7829828,26.4,46.75
1746606711.8274372,26.88,49.42
1746606712.3767378,26.34,41.97
1746606712.6742623,26.85,50.72
1746606713.3181152,23.35,54.33
1746606712.1240127,27.29,36.03
1746606716.9956098,23.56,37.53
1746606712.7874858,27.77,54.88
1746606713.3895574,23.38,44.46
1746606712.829981,23.88,38.58
1746606721.785207,24.65,35.54
1746606713.828112,27.42,54.77
1746606714.379085,25.64,51.89
1746606714.6754425,26.07,38.96
1746606715.3191729,24.42,45.18
1746606714.1253805,23.76,39.8
1746606719.0060031,25.17,38.3
1746606715.3925343,23.57,44.36
1746606714.8033655,24.0,36.57
1746606714.838058,27.12,52.67
1746606723.7872007,25.44,37.56
1746606715.8354607,27.26,49.46
1746606716.388646,25.21,37.81
1746606716.6762247,26.66,40.09
1746606717.3206518,24.54,39.13
1746606716.1267369,24.93,40.44
1746606721.0213218,25.1,49.1
1746606717.39374,25.49,48.54
1746606716.8102481,27.33,47.82
1746606716.8477669,24.06,35.52
1746606725.7879198,26.36,41.24
1746606717.8366733,25.23,36.79
1746606718.3900561,26.98,35.63
1746606718.677184,24.35,38.86
1746606719.3224292,23.26,54.3
1746606718.1274805,24.13,52.59
1746606723.026958,26.56,51.3
1746606719.39476,27.28,44.8
1746606718.818459,25.33,53.29
1746606718.8622565,26.12,51.4
1746606727.7903168,23.12,45.76
1746606719.8393197,27.74,42.03
1746606720.395558,23.97,41.65
1746606720.6780195,24.59,36.13
1746606721.323483,23.04,50.92
1746606720.128167,24.42,37.92
1746606725.0378706,23.96,51.85
1746606721.395907,25.81,50.32
1746606720.83648,24.0,42.16
1746606720.8682692,25.98,51.06
1746606729.7923794,24.08,42.99
1746606721.8454893,25.67,46.23
1746606722.4083543,27.56,43.11
1746606722.67906,27.29,50.92
1746606723.3245656,27.2,54.75
1746606722.1287818,27.13,41.82
1746606727.050646,23.18,43.34
1746606723.3967257,24.56,37.84
1746606722.8432055,23.08,50.66
1746606722.8858993,26.92,42.77
1746606731.794331,23.43,44.43
1746606723.8484693,25.92,37.83
1746606724.4168186,27.45,44.59
1746606724.6802013,24.12,49.07
1746606725.3262372,27.85,50.76
